id,dataset_name,edit_type,source_image,target_image,mask_path,source_prompt,target_prompt,editing_instruction,clip_score,clip_score_category,turn_index,source_parquet,sample_key,foreground,foreground_target,qwen_edit_type,vlm_confidence,vlm_notes,vlm_model,vlm_error,chordedit_sample_id,chordedit_image_path
imgedit_00000010_00,imgedit,action,W4nAIMbmM1g_segment_9_frame_0.jpg,W4nAIMbmM1g_segment_9_frame_55.jpg,,"A man in a suit with multiple arms holding a phone, a laptop, a tablet, and a pen.","A man in a suit with multiple arms holding a phone, a laptop, a tablet, and a pen, adjusting the angle of the phone near his ear.",The person adjusts the angle at which they hold the phone near their ear.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,W4nAIMbmM1g_segment_9_frame_0,the phone,the phone with a different angle,action,high,"The phone's angle is changed to a more vertical position, indicating a repositioning of the hand and the phone.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000010_00,imgedit_00000010_00.png
imgedit_00000011_00,imgedit,action,b3ZhRWpScR4_segment_13_frame_0.jpg,b3ZhRWpScR4_segment_13_frame_55.jpg,,A young man with short black hair wearing a red turtleneck sweater is smiling and looking to the right.,A young man with short black hair wearing a red turtleneck sweater is smiling and looking down.,The person lowers their head and looks downward.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,b3ZhRWpScR4_segment_13_frame_0,person,person lowering their head and looking downward,action,high,"The person's head position changes from looking to the right to looking down, consistent with the editing instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000011_00,imgedit_00000011_00.png
imgedit_00000012_00,imgedit,action,lP5SY4e8x74_segment_2_frame_0.jpg,lP5SY4e8x74_segment_2_frame_50.jpg,,A woman with short brown hair wearing a blue cardigan and a beige apron stands in a kitchen with wooden cabinets and a dark countertop.,"A woman with short brown hair wearing a blue cardigan and a beige apron stands in a kitchen with wooden cabinets and a dark countertop, straightening her arm and shifting her weight slightly to her right.",The person straightens their arm and shifts their weight slightly to one side.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,lP5SY4e8x74_segment_2_frame_0,person,person with arms bent and weight shifted to one side,action,high,The person's posture changes from standing with arms at her sides to leaning slightly to her right with her arms bent.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000012_00,imgedit_00000012_00.png
imgedit_00000013_00,imgedit,action,xTTBDTH7_W0_segment_49_frame_0.jpg,xTTBDTH7_W0_segment_49_frame_55.jpg,,A woman with blonde hair is performing a squat with a barbell in a gym.,A woman with blonde hair is lowering a barbell from her shoulders during a squat in a gym.,The woman lowers the barbell from her shoulders.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,xTTBDTH7_W0_segment_49_frame_0,barbell,barbell,action,high,"The barbell is in the woman's hands and is lowered from her shoulders, indicating a squat motion. The barbell is in the same position as in the source image.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000013_00,imgedit_00000013_00.png
imgedit_00000014_00,imgedit,action,uqHtbCZatFU_segment_15_frame_16.jpg,uqHtbCZatFU_segment_15_frame_71.jpg,,"A man in a green t-shirt leans over the open hood of a red Honda Civic, looking at the engine.","A man in a green t-shirt leans closer over the open hood of a red Honda Civic, looking at the engine with a more intense expression.",The man leans closer over the car engine.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,uqHtbCZatFU_segment_15_frame_16,man,man leaning closer,action,high,"The man's posture changes to lean in closer to the engine, indicating a more focused action.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000014_00,imgedit_00000014_00.png
imgedit_00000015_00,imgedit,action,xc7wDNB7u4k_segment_38_frame_0.jpg,xc7wDNB7u4k_segment_38_frame_55.jpg,,"A man in a black blazer and gray t-shirt stands on a stage, speaking and gesturing with his hands.","A man in a black blazer and gray t-shirt stands on a stage, speaking and spreading both hands outward with his palms open.",The person spreads both hands outward while speaking.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,xc7wDNB7u4k_segment_38_frame_0,person,person spreading both hands outward,action,high,"The person's hands are in a different position in the target image, with both hands spread outward, as instructed.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000015_00,imgedit_00000015_00.png
imgedit_00000016_00,imgedit,action,c33NPS4TY9Y_segment_53_frame_0.jpg,c33NPS4TY9Y_segment_53_frame_55.jpg,,A man with an afro and a beard stands in front of a red and blue water background.,"A man with an afro and a beard stands in front of a red and blue water background, moving both hands from lower to higher on his chest.",The man moves both hands from lower to higher on his chest.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,c33NPS4TY9Y_segment_53_frame_0,man,man with both hands raised and moving upward on his chest,action,high,"The man's hands are in motion, rising from his lower chest to his upper chest, indicating a dynamic gesture.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000016_00,imgedit_00000016_00.png
imgedit_00000017_00,imgedit,action,QaJzFA5eIR8_segment_0_frame_12.jpg,QaJzFA5eIR8_segment_0_frame_60.jpg,,"A man in a black shirt sits at a wooden desk in a home office, speaking to the camera with a professional lighting setup in front of him.","A man in a black shirt sits at a wooden desk in a home office, turning his head slightly to the right with a professional lighting setup in front of him.",The person turns their head slightly to the right.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,QaJzFA5eIR8_segment_0_frame_12,person,person,action,high,The person's head has been slightly rotated to the right.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000017_00,imgedit_00000017_00.png
imgedit_00000018_00,imgedit,action,gyVHcPx_FQ0_segment_0_frame_0.jpg,gyVHcPx_FQ0_segment_0_frame_55.jpg,,"A woman with a mustache stands in a Western town, holding a frying pan horizontally in her hands.","A woman with a mustache stands in a Western town, holding a frying pan at a diagonal angle while turning her torso slightly.",The woman shifts the frying pan from a horizontal to a more diagonal position while turning her torso slightly.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,gyVHcPx_FQ0_segment_0_frame_0,frying pan,frying pan at a diagonal angle,action,high,"The woman's torso is slightly turned, and the frying pan is angled diagonally in her hands, indicating a change in its position and orientation.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000018_00,imgedit_00000018_00.png
imgedit_00000019_00,imgedit,action,HEt4eoHqU5A_segment_2_frame_0.jpg,HEt4eoHqU5A_segment_2_frame_55.jpg,,"A woman with long blonde hair sits at a news desk, wearing a floral dress and holding a pen in her left hand while gesturing with her right hand.","A woman with long blonde hair sits at a news desk, wearing a floral dress and holding a pen in her left hand while lowering her right hand.",A woman moves her hand downward while holding a pen in her other hand.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,HEt4eoHqU5A_segment_2_frame_0,woman,woman,action,high,The woman's right hand is lowered from a raised position to a resting position on the desk.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000019_00,imgedit_00000019_00.png
imgedit_00000020_00,imgedit,action,RcUyqQCgooQ_segment_3_frame_4.jpg,RcUyqQCgooQ_segment_3_frame_59.jpg,,"A man with blond hair stands in a snowy forest, wearing a blue vest over a light-colored shirt, with a wooden cabin in the background.","A man with blond hair stands in a snowy forest, wearing a blue vest over a light-colored shirt, with his right arm lowered, and a wooden cabin in the background.",The man lowers his right arm.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,RcUyqQCgooQ_segment_3_frame_4,man,man with his right arm lowered,action,high,"The man's right arm is lowered, indicating a change in posture.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000020_00,imgedit_00000020_00.png
imgedit_00000021_00,imgedit,action,0GPMKCXujC8_segment_62_frame_12.jpg,0GPMKCXujC8_segment_62_frame_67.jpg,,"A man in a black t-shirt stands in front of a yellow Jeep Wrangler on a dirt trail, pointing upwards with his right hand.",A man in a black t-shirt stands in front of a yellow Jeep Wrangler on a dirt trail with his right arm lowered to his side.,The man lowers his right arm from a raised pointing position to resting by his side.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,0GPMKCXujC8_segment_62_frame_12,man,man with arm lowered,action,high,"The man's right arm is raised in the source image but lowered in the target image, matching the editing instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000021_00,imgedit_00000021_00.png
imgedit_00000022_00,imgedit,action,aO7FlioPFmM_segment_1_frame_0.jpg,aO7FlioPFmM_segment_1_frame_55.jpg,,"A man in a red and black striped sweater stands in front of a blue Mercedes-Benz van, clasping his hands together.","A man in a red and black striped sweater stands in front of a blue Mercedes-Benz van, gesturing with his hands open.",The person changes from clasping their hands together to gesturing with open hands.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,aO7FlioPFmM_segment_1_frame_0,person,person with open hands,action,high,"The person's hands change from clasped to open, indicating a gesture of explanation or emphasis.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000022_00,imgedit_00000022_00.png
imgedit_00000023_00,imgedit,action,BqbGWorIt9w_segment_5_frame_0.jpg,BqbGWorIt9w_segment_5_frame_55.jpg,,A young girl with blonde hair and a floral dress is looking at the camera with a serious expression in a dimly lit room.,"A young girl with blonde hair and a floral dress is looking at the camera with a serious expression in a dimly lit room, but her mouth is now open as if she is speaking.","No change in the subject's action, pose, or facial expression.",,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,BqbGWorIt9w_segment_5_frame_0,girl,girl with her mouth open,action,high,"The only change is the girl's mouth, which is open in the target image, indicating a change in her expression. The rest of her appearance, pose, and facial expression remain unchanged.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000023_00,imgedit_00000023_00.png
imgedit_00000024_00,imgedit,action,6J6vJJbnvKg_segment_9_frame_0.jpg,6J6vJJbnvKg_segment_9_frame_55.jpg,,A person wearing a colorful turban and a patterned shirt stands in a doorway holding a bundle of green leaves and a pair of coconuts.,"A person wearing a colorful turban and a patterned shirt stands in a doorway with a straighter posture, raising their right elbow slightly while holding a bundle of green leaves and a pair of coconuts.","The person straightens their posture, raising their right elbow slightly.",,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,6J6vJJbnvKg_segment_9_frame_0,person,person with straightened posture and raised right elbow,action,high,"The person's posture is adjusted to include a slight raise of the right elbow, as per the editing instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000024_00,imgedit_00000024_00.png
imgedit_00000025_00,imgedit,action,ZbegNM7ZEw0_segment_18_frame_76.jpg,ZbegNM7ZEw0_segment_18_frame_131.jpg,,"A man in a suit stands on a stage with a grand piano behind him, gesturing with his arms.","A man in a suit stands on a stage with a grand piano behind him, moving his arms closer to his body and shifting his stance slightly.",The man moves his arms closer to his body and shifts his stance slightly.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,ZbegNM7ZEw0_segment_18_frame_76,man,man,action,high,The man's arms are positioned closer to his body and his stance is slightly altered.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000025_00,imgedit_00000025_00.png
imgedit_00000026_00,imgedit,action,rAf6ibs4uFU_segment_8_frame_50.jpg,rAf6ibs4uFU_segment_8_frame_105.jpg,,A woman in a kitchen holds a round container in her hands.,A woman in a kitchen holds a round container upright in her hands.,"A woman adjusts her grip on a round container, holding it more upright.",,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,rAf6ibs4uFU_segment_8_frame_50,a woman,a woman holding a round container upright,action,high,The woman adjusts her grip to hold the container more upright.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000026_00,imgedit_00000026_00.png
imgedit_00000027_00,imgedit,action,fRqzpUcgwFU_segment_34_frame_0.jpg,fRqzpUcgwFU_segment_34_frame_55.jpg,,"A man with a stern expression stands in a park, wearing a white polo shirt.","A man with a stern expression stands in a park, wearing a white polo shirt, surrounded by multiple hands offering him s'mores.",The person holds still while multiple hands reach towards them with s'mores.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,fRqzpUcgwFU_segment_34_frame_0,man,man holding still while multiple hands reach towards him with s'mores,action,high,"The man's expression remains unchanged, but the addition of multiple hands offering s'mores creates a new interaction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000027_00,imgedit_00000027_00.png
imgedit_00000028_00,imgedit,action,Q_Q1ZIH1n5M_segment_4_frame_0.jpg,Q_Q1ZIH1n5M_segment_4_frame_55.jpg,,"A plastic doll with yellow hair and a pearl necklace is sitting in sand, covered in ants.","A plastic doll with yellow hair and a pearl necklace is sitting in sand, covered in ants, and rising slightly from a sitting position.",The person rises slightly from a sitting or crouching position.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,Q_Q1ZIH1n5M_segment_4_frame_0,doll,doll rising slightly from a sitting position,action,high,The doll's posture has been altered to indicate a slight upward movement from a seated or crouching position.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000028_00,imgedit_00000028_00.png
imgedit_00000029_00,imgedit,action,omS7hPCWwuM_segment_1_frame_0.jpg,omS7hPCWwuM_segment_1_frame_55.jpg,,"A man in a green t-shirt sits in a fishing chair by a lake, with fishing rods and reeds nearby.","A man in a green t-shirt sits in a fishing chair by a lake, with his hands clasped together, then separated with fingers slightly apart.",The man moves his hands from being clasped together to separated with fingers slightly apart.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,omS7hPCWwuM_segment_1_frame_0,man's hands,man's hands separated with fingers slightly apart,action,high,"The edit focuses on the man's hands, changing their position from clasped to separated.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000029_00,imgedit_00000029_00.png
imgedit_00000030_00,imgedit,action,ZWHX4aeCHQ0_segment_2_frame_0.jpg,ZWHX4aeCHQ0_segment_2_frame_55.jpg,,A man wearing a black hat and a red bandana stands in a snowy forest.,A man wearing a black hat and a red bandana looks upwards while raising his head in a snowy forest.,The person looks upwards while raising their head and wears a hat.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,ZWHX4aeCHQ0_segment_2_frame_0,person,person looking upwards,action,high,"The person's head is raised and he is looking up, which is a change from the original pose.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000030_00,imgedit_00000030_00.png
imgedit_00000031_00,imgedit,action,n48rgxB1qv8_segment_128_frame_0.jpg,n48rgxB1qv8_segment_128_frame_55.jpg,,"A man in a grey t-shirt holding a black object, standing in front of a table with gaming consoles and a string of lights.","A man in a grey t-shirt holding a black object, standing in front of a table with gaming consoles and a string of lights, with his right hand now resting on the table.",The person lowers their right hand from a raised position to rest it down.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,n48rgxB1qv8_segment_128_frame_0,person,person with right hand resting on table,action,high,The person's right hand is lowered from a raised position to rest on the table.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000031_00,imgedit_00000031_00.png
imgedit_00000032_00,imgedit,action,W57syAGaSuY_segment_19_frame_52.jpg,W57syAGaSuY_segment_19_frame_107.jpg,,A man with a beard holds a black smartphone in his left hand and a black case with a white interior in his right hand.,A man with a beard holds a black smartphone in his left hand and raises his right hand with fingers slightly curled while holding the open case with one hand.,The person raises their other hand with fingers slightly curled while holding the open case with one hand.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,W57syAGaSuY_segment_19_frame_52,hand,raised hand,action,high,"The hand is raised with fingers slightly curled, indicating a new action.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000032_00,imgedit_00000032_00.png
imgedit_00000033_00,imgedit,action,IFPcwUzfUYI_segment_10_frame_84.jpg,IFPcwUzfUYI_segment_10_frame_139.jpg,,"A woman in a dark green dress stands in a doorway, looking at another woman with her back to the camera.","A woman in a dark green dress stands in a doorway, looking at another woman with her back to the camera, and turns her head to the side while crossing her arms.",A woman turns her head to the side and crosses her arms.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,IFPcwUzfUYI_segment_10_frame_84,woman,woman turning her head and crossing her arms,action,high,"The woman's posture changes from facing the other woman to turning her head and crossing her arms, which is consistent with the instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000033_00,imgedit_00000033_00.png
imgedit_00000034_00,imgedit,action,2oopbQOW7WM_segment_56_frame_0.jpg,2oopbQOW7WM_segment_56_frame_55.jpg,,"A baby is sitting on a colorful, flower-patterned surface with a large, sparkling diamond ring on its head.","A baby is kneeling upright on a colorful, flower-patterned surface with a large, sparkling diamond ring on its head.",The baby changes from sitting with legs spread to kneeling upright with knees and hands on the ground.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,2oopbQOW7WM_segment_56_frame_0,baby,kneeling upright,action,high,The baby's posture changes from sitting with legs spread to kneeling with knees and hands on the ground.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000034_00,imgedit_00000034_00.png
imgedit_00000035_00,imgedit,action,zAChaIkiiuU_segment_25_frame_0.jpg,zAChaIkiiuU_segment_25_frame_55.jpg,,"A man with glasses and a beard stands in a workshop, wearing a grey shirt.","A man with glasses and a beard turns his head slightly to the right, still wearing a grey shirt.",The man slightly turns his head to the right.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,zAChaIkiiuU_segment_25_frame_0,man,man slightly turned to the right,action,high,"The man's head position is adjusted to the right, with the rest of the scene remaining unchanged.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000035_00,imgedit_00000035_00.png
imgedit_00000036_00,imgedit,action,718UkBVxlLU_segment_0_frame_118.jpg,718UkBVxlLU_segment_0_frame_173.jpg,,"A woman stands in front of a table with cooking ingredients, gesturing with both arms raised.","A woman stands in front of a table with cooking ingredients, lowering her arms and touching the side of her neck with her right hand.",The woman lowers her arms and touches the side of her neck with her right hand.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,718UkBVxlLU_segment_0_frame_118,woman,woman touching the side of her neck with her right hand,action,high,"The woman's arms are lowered and she is touching her neck with her right hand in the target image, which is consistent with the instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000036_00,imgedit_00000036_00.png
imgedit_00000037_00,imgedit,action,8HDsMeVB3ik_segment_28_frame_0.jpg,8HDsMeVB3ik_segment_28_frame_55.jpg,,"A skier in a snowy forest, wearing a helmet and goggles, holding ski poles.","A skier in a snowy forest, wearing a helmet and goggles, holding ski poles and turning their head to face forward.",The person turns their head to face forward.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,8HDsMeVB3ik_segment_28_frame_0,person,person turning their head to face forward,action,high,"The person's head is turned slightly to the side in the source image, but the edit changes it to face forward, matching the instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000037_00,imgedit_00000037_00.png
imgedit_00000038_00,imgedit,action,Ht7-G6vtBC0_segment_8_frame_8.jpg,Ht7-G6vtBC0_segment_8_frame_63.jpg,,"A woman in a blue shirt is sitting on a bed, adjusting her position while leaning on a large white pillow.","A woman in a blue shirt is reclining back against a large white pillow on a bed, with her legs extended and her arms resting on the pillow.",The person shifts from sitting upright while adjusting their position to reclining back against a pillow.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,Ht7-G6vtBC0_segment_8_frame_8,the woman,the woman reclining on the bed,action,high,"The woman's posture changes from sitting upright to reclining back against the pillow, with her body leaning back and her arms resting on the pillow. The pillow remains in the same position.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000038_00,imgedit_00000038_00.png
imgedit_00000039_00,imgedit,action,TiE_5Votsms_segment_49_frame_0.jpg,TiE_5Votsms_segment_49_frame_55.jpg,,"A woman with long brown hair, wearing a white dress with a black tiger print, stands at night in a park with illuminated trees and people in the background.","A woman with long brown hair, wearing a white dress with a black tiger print, stands at night in a park with illuminated trees and people in the background, lowering her raised hand.",The woman lowers her raised hand.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,TiE_5Votsms_segment_49_frame_0,woman,woman with lowered hand,action,high,The woman's raised hand is lowered in the edited version.,Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000039_00,imgedit_00000039_00.png
imgedit_00000040_00,imgedit,action,dhjNlp7KqDc_segment_2_frame_0.jpg,dhjNlp7KqDc_segment_2_frame_55.jpg,,A woman with a white floral crown holds a camera to take a mirror selfie in a bright room with a large window.,A woman with a white floral crown tilts her head slightly to the right while holding a camera to take a mirror selfie in a bright room with a large window.,The subject tilts their head slightly to the right.,,missing,0,D:/Datasets/ImgEdit/Parquet/action_part1.parquet,dhjNlp7KqDc_segment_2_frame_0,woman,tilts their head slightly to the right,action,high,"The woman's head position changes from neutral to slightly tilted right, consistent with the instruction.",Qwen/Qwen3-VL-2B-Instruct,,imgedit_00000040_00,imgedit_00000040_00.png
